anon_screen_name,QuzAttmptAvg1,QuzCount1,QuzAvSco1,QuzLagMean1,LecLag1,LecCount1,VidActCount1,eff1,QuzAttmptAvg2,QuzCount2,QuzAvSco2,QuzLagMean2,LecLag2,LecCount2,VidActCount2,eff2,QuzAttmptAvg3,QuzCount3,QuzAvSco3,QuzLagMean3,LecLag3,LecCount3,VidActCount3,eff3,QuzAttmptAvg4,QuzCount4,QuzAvSco4,QuzLagMean4,LecLag4,LecCount4,VidActCount4,eff4,QuzAttmptAvg5,QuzCount5,QuzAvSco5,QuzLagMean5,LecLag5,LecCount5,VidActCount5,eff5,QuzAttmptAvg6,QuzCount6,QuzAvSco6,QuzLagMean6,LecLag6,LecCount6,VidActCount6,eff6,QuzAttmptAvg7,QuzCount7,QuzAvSco7,QuzLagMean7,LecLag7,LecCount7,VidActCount7,eff7,QuzAttmptAvg8,QuzCount8,QuzAvSco8,QuzLagMean8,LecLag8,LecCount8,VidActCount8,eff8,Finalgrade,FinalScore,Class,EngStatus
1d56d5d5c957e23f83ee5fadca86205266733f68,0,0,0,0,0,0,0,1544,1,11.11111111,100,28765860,0,0,0,3879,2.2,83.33333333,95,5830224,9534740,42.85714286,0,12,1,33.33333333,100,-17736200,0,0,0,0,1,66.66666667,91.66666667,4780,210,22.22222222,0,0,2,60,88.89,874450,0,0,0,4282,2,16.66666667,100,1200,0,0,0,1290,0,0,0,0,0,0,0,0,0.05,Fail,AverageEngaged,Time<30Mins
1e05f5c6cb955cb2c853b1f34c90d0cad9bb2d0f,2,12.5,50,37715100,37711020,12.5,21,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0.08,Fail,AverageEngaged,Time<1hour
1f1f711b7d5e176273e4b3e92d1b9093b97a699c,0,0,0,0,42072870,25,39,2043,1,22.22222222,100,23103030,69133200,7.142857143,0,1011,2.2,83.33333333,86.428,-3682716,266145,57.14285714,0,0,1,33.33333333,88.89,-1508240,0,0,0,0,1,66.66666667,83.33333333,14260,3996960,22.22222222,0,27,2,20,43.335,-4391520,0,0,0,0,0,0,0,0,0,0,0,1981,0,0,0,0,0,0,0,6503,0.06,Fail,AverageEngaged,Time<30Mins
21cf9ab38e4c152029d6d663bb1df9f3bc4452d6,1.428571429,87.5,70.83428571,18087154.29,22584810,25,42,0,1.714285714,77.77777778,53.57142857,23580505.71,21579840,7.142857143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17476,0,0,0,0,0,0,0,9373,0,0,0,0,0,0,0,10186,0,0,0,0,0,0,0,775,0,0,0,0,0,0,0,8777,0.15,Fail,AboveAvgEngaged,Time >=1 hour
23350d1ee30fcaba1032d4c6fea6244a8bc45b3d,1,25,100,-16875000,0,0,35,0,1,22.22222222,100,2640,780,7.142857143,0,8175,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,Fail,AverageEngaged,Time<20Mins
25b770b99051eee5e9ac2fd7b37af3d314367b93,0,0,0,0,0,0,1,0,2,11.11111111,33.33,33835380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0.75,Pass,BelowAverage,Time<10Mins
264934302ab9b159f6df5dbaf3be7474d58061f6,1,37.5,88.89,49252240,408780,37.5,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
28fa8aa97d90721e7b0bbe1de0c8ebebc733afa7,1,12.5,66.67,10369200,1260,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fail,BelowAverage,Time<10Mins
297c2d0e68716fe91d10eaf96237d15848474d9a,0,0,0,0,45531060,12.5,3,20939,2,11.11111111,66.67,42523020,60240960,7.142857143,0,3433,0,0,0,0,0,0,0,2367,0,0,0,0,25506390,22.22222222,1,0,0,0,0,0,0,0,0,19769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0.17,Fail,AboveAvgEngaged,Time >=1 hour
29ae4b0df8543b0b9d2e04a506445185341dec58,0,0,0,0,0,0,8,1074,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,60,67.22333333,-90780,0,0,0,0,1,50,100,4680,0,0,0,0,1,83.33333333,93.334,-1969284,0,0,0,9294,0.14,Fail,AverageEngaged,Time<30Mins
