an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
59ca5f19d2c367af58f77f3d13ee 597744512 6,m,1991,Bachel rs,CHN,China
59ca5f19d2c367af58f77f3d13ee 597744512 6,m,1991,Bachel rs,HKG,H ng K ng
59ca5f19d2c367af58f77f3d13ee 597744512 6,m,1991,Bachel rs,ZZZ,Reserved
 6186a1b9556baab3 7 eff9d6fe886b1d36b9bb,m,1982,Masters  r pr fessi nal degree,CHN,China
 6186a1b9556baab3 7 eff9d6fe886b1d36b9bb,m,1982,Masters  r pr fessi nal degree,USA,United States
 6186a1b9556baab3 7 eff9d6fe886b1d36b9bb,m,1982,Masters  r pr fessi nal degree,ZZZ,Reserved
b4af463f2ebff22ecd67a2dabfa283afdb87b562,m,1983,Masters  r pr fessi nal degree,USA,United States
b4af463f2ebff22ecd67a2dabfa283afdb87b562,m,1983,Masters  r pr fessi nal degree,CHN,China
b4af463f2ebff22ecd67a2dabfa283afdb87b562,m,1983,Masters  r pr fessi nal degree,K R,K rea Republic  f
b4af463f2ebff22ecd67a2dabfa283afdb87b562,m,1983,Masters  r pr fessi nal degree,ZZZ,Reserved
9 8e94f6686193a89 e14e2727d56ec5b6e ead ,f,1994,Sec ndary/High Sch  l,AUS,Australia
3f2e36334369d99df4 9fd ce5ccf828e2afe868,m,1992,Bachel rs,IND,India
fdb84936b7f6b2cd23668fdf72847fcb899d88 7,m,1989,Bachel rs,MLI,Mali
fdb84936b7f6b2cd23668fdf72847fcb899d88 7,m,1989,Bachel rs,GBR,United Kingd m
fdb84936b7f6b2cd23668fdf72847fcb899d88 7,m,1989,Bachel rs,BEN,Benin
fdb84936b7f6b2cd23668fdf72847fcb899d88 7,m,1989,Bachel rs,KEN,Kenya
ddcc7a16e24eb65de141f297ecaaed4 ac1584ed,m,199,Bachel rs,KWT,Kuwait
2e5a24 5 eccd4b4f2125ecf1f9e125e3b4 c7af,m,1992,Masters  r pr fessi nal degree,UKR,Ukraine
2e5a24 5 eccd4b4f2125ecf1f9e125e3b4 c7af,m,1992,Masters  r pr fessi nal degree,SWE,Sweden
2e5a24 5 eccd4b4f2125ecf1f9e125e3b4 c7af,m,1992,Masters  r pr fessi nal degree,CZE,Czech Republic
2e5a24 5 eccd4b4f2125ecf1f9e125e3b4 c7af,m,1992,Masters  r pr fessi nal degree,RUS,Russian Federati n
cb1e48aa4a4e934634a5aff e176 d dae4fac3f,f,1989,Bachel rs,N R,N rway
8389dc3cbadc6ea28a88dd1c86e6c bcc475ec4 ,f,1991,Bachel rs,GRC,Greece
 82de9c799719636918af36 22a964ef17e645a2,m,1976,Ass ciates,USA,United States
 82de9c799719636918af36 22a964ef17e645a2,m,1976,Ass ciates,PHL,Philippines
23dae6422381c7ab8f162f81b66db162f7e33f86,m,1966,Bachel rs,GRC,Greece
23dae6422381c7ab8f162f81b66db162f7e33f86,m,1966,Bachel rs,FIN,Finland
23dae6422381c7ab8f162f81b66db162f7e33f86,m,1966,Bachel rs,USA,United States
63d3edeb631cb2c14f 9ea4a67 9f842 d215c25,f,1994,Bachel rs,CHN,China
52bcd99a82f271ed82e524c9f8c13dac7a327589,m,1983,Bachel rs,SAU,Saudi Arabia
52bcd99a82f271ed82e524c9f8c13dac7a327589,m,1983,Bachel rs,GBR,United Kingd m
52bcd99a82f271ed82e524c9f8c13dac7a327589,m,1983,Bachel rs,USA,United States
52bcd99a82f271ed82e524c9f8c13dac7a327589,m,1983,Bachel rs,DNK,Denmark
52bcd99a82f271ed82e524c9f8c13dac7a327589,m,1983,Bachel rs,EGY,Egypt
2fbf34c1ec5e9ef686be4d8 c fa964  ef218db,m,1996,Sec ndary/High Sch  l,IND,India
 b e1b3a8636891d72a95ff5fe5555d44c715d38,m,1993,Bachel rs,IND,India
 b e1b3a8636891d72a95ff5fe5555d44c715d38,m,1993,Bachel rs,AUS,Australia
b9fc b776 f43fd2e453ca55ccc79 ad7f29477 ,m,1994,Sec ndary/High Sch  l,CHN,China
b9fc b776 f43fd2e453ca55ccc79 ad7f29477 ,m,1994,Sec ndary/High Sch  l,USA,United States
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,AUT,Austria
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,ESP,Spain
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,ITA,Italy
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,GBR,United Kingd m
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,NLD,Netherlands
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,N R,N rway
2543776 856d32144 7cf2fe45fa6858 d46b1bc,m,1951,Masters  r pr fessi nal degree,DEU,Germany
b6c8f8649d92ad64357 bb8662ad5 48 d15ee a,m,198,Masters  r pr fessi nal degree,MUS,Mauritius
fe62926 17f74 e159b9216bc2b278 cc6734b4a,m,1989,Masters  r pr fessi nal degree,DEU,Germany
fe62926 17f74 e159b9216bc2b278 cc6734b4a,m,1989,Masters  r pr fessi nal degree,FRA,France
d64af6a42 7dd4d dc37f2c e9fb 3e9f6d8b 7f,m,1973,Masters  r pr fessi nal degree,SVN,Sl venia
ff9d 19471d562fff e23af88b6b  1b298d6dc5,f,1997,Juni r sec ndary/juni r high/middle Sch  l,AUS,Australia
ff9d 19471d562fff e23af88b6b  1b298d6dc5,f,1997,Juni r sec ndary/juni r high/middle Sch  l,VNM,Viet Nam
2837 dcf72163591fb8f7a49 17a36c7 d2dc92a,m,1994,Sec ndary/High Sch  l,IND,India
7726edd17dfb4d663374c7cc6a22c332df186a53,f,1965,Bachel rs,USA,United States
29 614787bf6c282d3b6c425887 516c61fdea39,m,1967, ther,USA,United States
4c3 84f9e93 c52fa1a62da9c842bf66783a2ea9,f,1996,Sec ndary/High Sch  l,BRA,Brazil
331d598ce227  2a65b c84197425845be25664d,m,1989,Bachel rs,IND,India
45c56aa7edd7f1198 24235e87e45efc1ef285ce,m,1988,Bachel rs,TUR,Turkey
45c56aa7edd7f1198 24235e87e45efc1ef285ce,m,1988,Bachel rs,ESP,Spain
45c56aa7edd7f1198 24235e87e45efc1ef285ce,m,1988,Bachel rs,P L,P land
45c56aa7edd7f1198 24235e87e45efc1ef285ce,m,1988,Bachel rs,USA,United States
2a6f92b592f619521a89bd66acf 11a5444d2626,m,1991,Bachel rs,IND,India
2a6f92b592f619521a89bd66acf 11a5444d2626,m,1991,Bachel rs,CHN,China
7b99a472ca2d9b391c7d33 49d45291b5ee66352,m,1978,Bachel rs,BRA,Brazil
1 7f87b4deff899bdbb43f81995e  a33b14cf14,m,1992,Masters  r pr fessi nal degree,PAK,Pakistan
86ce144fce1 b9a21b4 511fb499acd55 1cf4e4,m,1973,Bachel rs,USA,United States
86ce144fce1 b9a21b4 511fb499acd55 1cf4e4,m,1973,Bachel rs,VEN,Venezuela
722 ed8b9d9a4ee4a25e8841e415a d1 4d8fd 8,m,197,Bachel rs,FRA,France
722 ed8b9d9a4ee4a25e8841e415a d1 4d8fd 8,m,197,Bachel rs,EU,Eur pean Uni n
722 ed8b9d9a4ee4a25e8841e415a d1 4d8fd 8,m,197,Bachel rs,GBR,United Kingd m
722 ed8b9d9a4ee4a25e8841e415a d1 4d8fd 8,m,197,Bachel rs,MEX,Mexic 
436dc d2b 584158fec592ed94f965cf7 367bf3,m,1957,Bachel rs,USA,United States
25e2f  e714e4d771c8c 8 931  eb64f82 7 b5,m,1965,D ct rate,ESP,Spain
25e2f  e714e4d771c8c 8 931  eb64f82 7 b5,m,1965,D ct rate,TUR,Turkey
92dc3c5118ab1d9beab853af2 1935b583bc6a68,m,1989,Bachel rs,USA,United States
8 4b249e5 13de1cf3bcd6c37 672c882 d1a396,m,199,Bachel rs,IND,India
3be6733e4 ed7 3d58ff26b 45a 2b95a9a7a377,m,1996,Juni r sec ndary/juni r high/middle Sch  l,ESP,Spain
3be6733e4 ed7 3d58ff26b 45a 2b95a9a7a377,m,1996,Juni r sec ndary/juni r high/middle Sch  l,GBR,United Kingd m
3be6733e4 ed7 3d58ff26b 45a 2b95a9a7a377,m,1996,Juni r sec ndary/juni r high/middle Sch  l,AUT,Austria
3be6733e4 ed7 3d58ff26b 45a 2b95a9a7a377,m,1996,Juni r sec ndary/juni r high/middle Sch  l,ITA,Italy
9beb76d3f772 226acce288ab47181b61c42ebd6,m,1987,Masters  r pr fessi nal degree,USA,United States
9beb76d3f772 226acce288ab47181b61c42ebd6,m,1987,Masters  r pr fessi nal degree,CHN,China
88f4e1c6bdf 5e89e7749edc71a7193e8863fafc,m,1993,Bachel rs,EGY,Egypt
1 35d51fdd421 52f7c84355eb5d6ba19d886fd8,f,1974,Masters  r pr fessi nal degree,USA,United States
3 fd5 3eeb9d8 16c238 2cdba229d3163 d3335,m,1991,Masters  r pr fessi nal degree,USA,United States
fd851e5e82afa  2a1591 d8fab12 8bf a2fc5c,m,1984,Masters  r pr fessi nal degree,ESP,Spain
c4c7ce17295ae1d5974 6592d 2bacf4 a 99 65,m,1991,Bachel rs,IND,India
c4c7ce17295ae1d5974 6592d 2bacf4 a 99 65,m,1991,Bachel rs,USA,United States
b13e32d1d42d17677a386cd79b32f686b59b2338,m,1993,Sec ndary/High Sch  l,IND,India
e772ec9fb5e5c595d3dc5dd72fe5a1 ab2ddf4fe,f,1992,Bachel rs,UKR,Ukraine
e772ec9fb5e5c595d3dc5dd72fe5a1 ab2ddf4fe,f,1992,Bachel rs,RUS,Russian Federati n
8af54 d554c26662a7 b184843352c3fcea9ee 2,m,199,D ct rate,USA,United States
