an n_screen_name,gender,year_ f_birth,level_ f_educati n,c untry_three_letters,c untry_name
8 4ac34f68 22376afb1ab d99188f  3af2879d,m,1988,Masters  r pr fessi nal degree,BRA,Brazil
28bfe2bd2a73be5b318b2b3eeaa9a92583f37b44,f,1979,Masters  r pr fessi nal degree,R M,R mania
ad9592486b 465c62f37389  fae7e45af1c 8b7,m,1983,D ct rate,IND,India
7e4d4a3bb592d8e5ebb8f7c8fb398fe394a6f8b4,m,197,Masters  r pr fessi nal degree,IND,India
d81e44363dd69fc9db7ee5b7e92f5fda726e127a,m,1971,Bachel rs,IDN,Ind nesia
b3c8d514ed22d5ca88a25 c8fbcfaa bca1a3bd6,f,1989,Bachel rs,USA,United States
 4889c868d615db9ea73d74d 619223dedb ea6d,m,1981,Bachel rs,IDN,Ind nesia
475fa4f46397766c2df585 d 55c457775fb3dc9,f,1983,Masters  r pr fessi nal degree,QAT,Qatar
475fa4f46397766c2df585 d 55c457775fb3dc9,f,1983,Masters  r pr fessi nal degree,RUS,Russian Federati n
e9eb9eeed f4f888adbeeea457472472e1f2a8f7,m,1955,Bachel rs,MEX,Mexic 
bb4bc6cbb6db9b33684ec7a3ee3136 476a91339,m,1978,Bachel rs,IND,India
 b11 a23 3515 99eb 2f9ecf941d 938ece7579,m,1994,Sec ndary/High Sch  l,IND,India
 b11 a23 3515 99eb 2f9ecf941d 938ece7579,m,1994,Sec ndary/High Sch  l,USA,United States
 4f2a6544f5a83653d c5d7e6287348  8113bab,m,1983,Masters  r pr fessi nal degree,MUS,Mauritius
56746cea8967a45f6466c2b2eeafcf51adce33f6,f,1988,Bachel rs,AUS,Australia
56746cea8967a45f6466c2b2eeafcf51adce33f6,f,1988,Bachel rs,GBR,United Kingd m
3e7531ab9c bd7aece9 167b496eaaf8b79599c3,m, ,D ct rate,USA,United States
2ec4a 94b7ceca18a9ef2394afde7 ca6d82bc7b,m,1958,D ct rate,IND,India
2ec4a 94b7ceca18a9ef2394afde7 ca6d82bc7b,m,1958,D ct rate,K R,K rea Republic  f
2ec4a 94b7ceca18a9ef2394afde7 ca6d82bc7b,m,1958,D ct rate,AUS,Australia
2ec4a 94b7ceca18a9ef2394afde7 ca6d82bc7b,m,1958,D ct rate,JPN,Japan
39d9363e312b6474b97bdfd4 d 36aa7453813c6,m,199,Bachel rs,HKG,H ng K ng
76b22 123 1cb3d781 b3896f48aed75bd33868e,f,1985,Bachel rs,RWA,Rwanda
98aa432 98be 572beb 74 1bd15387923df6177,m,1994,Ass ciates,SGP,Singap re
24ff4e 14a65681e76fdccea de976ec6ce23abb,m,1991,Masters  r pr fessi nal degree,USA,United States
d2a3f222934feda211311 f fdfb2f2644ec2573,f,1991,Masters  r pr fessi nal degree,CHE,Switzerland
d 6b 383 c7c53d8f2ac6451ecd7a1c4fa  b637,m,1957,Masters  r pr fessi nal degree,AUS,Australia
ff1 b7a7 ef6853b8c411f751c d88a 7321b55f,m,1987,Masters  r pr fessi nal degree,BGD,Bangladesh
ff1 b7a7 ef6853b8c411f751c d88a 7321b55f,m,1987,Masters  r pr fessi nal degree,USA,United States
a7a7155f762d56d3cbf 5dd1cffe9 d1f6fc753 ,m,1959,D ct rate,USA,United States
ee4612883d373 183a6db3dd1a86d 17f1eb 2e5,m,1989,Masters  r pr fessi nal degree,JPN,Japan
ee4612883d373 183a6db3dd1a86d 17f1eb 2e5,m,1989,Masters  r pr fessi nal degree,IND,India
ee4612883d373 183a6db3dd1a86d 17f1eb 2e5,m,1989,Masters  r pr fessi nal degree,SGP,Singap re
fbc7deeb6951 1528cc5 55efe7a76b334   db ,m,1987,Bachel rs,IND,India
1dba64ed447ea81d72eac71a68dc324f8f6f38c8,m,1992, ther,USA,United States
d2 b2cceb586e3a 15 15f9223 562ab87e27a5 ,m,1985,Masters  r pr fessi nal degree,CHL,Chile
d98d2b35 dedf4eb4154a67de17f1355b69fd1 6,f,1983,Bachel rs,USA,United States
d98d2b35 dedf4eb4154a67de17f1355b69fd1 6,f,1983,Bachel rs,PER,Peru
383ebfcda c73aa261c2a2c174 7a4d 5eee45a ,m,1988,Masters  r pr fessi nal degree,ECU,Ecuad r
383ebfcda c73aa261c2a2c174 7a4d 5eee45a ,m,1988,Masters  r pr fessi nal degree,ESP,Spain
383ebfcda c73aa261c2a2c174 7a4d 5eee45a ,m,1988,Masters  r pr fessi nal degree,C L,C l mbia
383ebfcda c73aa261c2a2c174 7a4d 5eee45a ,m,1988,Masters  r pr fessi nal degree,PRY,Paraguay
264fed7e6ca92d5e423c2ce7d37fb8ad f69 7c1,m,1989,Masters  r pr fessi nal degree,SGP,Singap re
1735a4ce3bcce 19 1c 787 8f526 e2 8eca19d,m,1986,Ass ciates,NGA,Nigeria
4 11b7 ef8c1ea 3bbd98c46a28e7 14fe56e3ca,m,1979,D ct rate,USA,United States
d8c2ce28a33761773e34b8531 b84b289a399385,m,199,Masters  r pr fessi nal degree,USA,United States
d8c2ce28a33761773e34b8531 b84b289a399385,m,199,Masters  r pr fessi nal degree,CAN,Canada
d9babc99c4fbba4f2952dd4ab61a568 cc7d9826,m,1989,Bachel rs,USA,United States
58a121cb2 dbaafb89f878d43faffa 4b8 8 221,m,1992,Bachel rs,BGD,Bangladesh
d8d8b43c283 88db7744598cd1 578f425f1f36e,m,1972,Masters  r pr fessi nal degree,IND,India
9914156455733 5 456e92ea712c8429a7bd5982,f,1972,Bachel rs,MMR,Myanmar
f9ac6ac9a69dbaf98463a9f9 5a997b1eee1 4ea,f,1989,Masters  r pr fessi nal degree,USA,United States
28 8eda65c3b293938a1a e1f494a8e7969e728a,m,1977,Masters  r pr fessi nal degree,RUS,Russian Federati n
f9bc5858d85f157d19154697292b683 7b e66 f,m,1979,Masters  r pr fessi nal degree,AUS,Australia
ad268e382c456425fcf8ad83c f5f81b38fb5fb4,m,199,Bachel rs,DEU,Germany
ad268e382c456425fcf8ad83c f5f81b38fb5fb4,m,199,Bachel rs,IND,India
9727b 48b38ae2e4c411c91cb2a6f552d77cb7cd,m,1989,Masters  r pr fessi nal degree,IND,India
4d4a36e4 56ce957d2912dbef993 f1bb88ba 83,m,1989,Masters  r pr fessi nal degree,USA,United States
7fa68 142c8 fec3e18c162bf7d6b2c4e4545869,f,1987,Masters  r pr fessi nal degree,CHN,China
7fa68 142c8 fec3e18c162bf7d6b2c4e4545869,f,1987,Masters  r pr fessi nal degree,IND,India
b3c5c3 684e37ed255af5bf24df6  9671 88e33,m,1981,D ct rate,TWN,Taiwan; Republic  f China (R C)
b3c5c3 684e37ed255af5bf24df6  9671 88e33,m,1981,D ct rate,SVN,Sl venia
b3c5c3 684e37ed255af5bf24df6  9671 88e33,m,1981,D ct rate,PHL,Philippines
5ed8f b119587e54f463eedfbd81c  6659dffdb,m,1979,Ass ciates,USA,United States
7f7e7955874c785831d52ea 4d4ac5687859ae1d,f,1948,D ct rate,USA,United States
68592ab6dcadb7a15499b 426bb75b72fcecc84f,m,1994,User withheld,LTU,Lithuania
  baefdc 7f9bfc5b654 d6 7f185688d7c475d9,m,1995,Sec ndary/High Sch  l,USA,United States
3dd53959ddd79a568b3cf2e3bf46c2ec2 a54a7b,f,1988,Bachel rs,SGP,Singap re
5f97cc53a41278714bba5f5c4da7b9ee24c4ca39,m,1963,Ass ciates,AUS,Australia
fd5e1c3 e421d413573338 cdef7f474178f852d,f,1985,Masters  r pr fessi nal degree,CAN,Canada
1f11f5b8fae28ecefb329a4158 5f86d39d9f4f ,m,1988,Bachel rs,IND,India
82938ad418 f6b46a1a85a cdbad9dfafaeb979a,f,1953,Masters  r pr fessi nal degree,USA,United States
847ad22fc6d362d34a47db97ae3acb82e47563d8,m,1986,Bachel rs,RUS,Russian Federati n
8 271a9e77b99a7e5d7f9a c155 4322 8 8d4aa,m,1986,Masters  r pr fessi nal degree,USA,United States
652faac 894fbf85a8c2 8587ce2 4bf1 7dfa7 ,f,1983,Bachel rs,USA,United States
1fe3c63582d2f1abcb9fb8bdf3  419c1141ad5d,m,1942,D ct rate,USA,United States
adb2da61b8fc6a25 f5  91917ccc 5fbaa9f 91,f,1978,Bachel rs,USA,United States
24aedcdf57dcf7beb7d8d99c5 547dd474 53e52,m,1989,Masters  r pr fessi nal degree,IND,India
875bee26cfb955346b9dd 3fba874 dcc7  3588,m,1997,Sec ndary/High Sch  l,CHN,China
875bee26cfb955346b9dd 3fba874 dcc7  3588,m,1997,Sec ndary/High Sch  l,USA,United States
875bee26cfb955346b9dd 3fba874 dcc7  3588,m,1997,Sec ndary/High Sch  l,ZZZ,Reserved
875bee26cfb955346b9dd 3fba874 dcc7  3588,m,1997,Sec ndary/High Sch  l,GBR,United Kingd m
1 538268 b6ed2e65daa82118bad1653fa5e61db,f,1977,Bachel rs,VNM,Viet Nam
ac37 9ee918fab527a2df51e6d b6edf7 997a5b,m,1989,Masters  r pr fessi nal degree,SGP,Singap re
3  1ddf 99618cfa 8c5dbf14e cb44626cd28ed,m,195,Masters  r pr fessi nal degree,USA,United States
3  1ddf 99618cfa 8c5dbf14e cb44626cd28ed,m,195,Masters  r pr fessi nal degree,BRA,Brazil
3b6c9ec27a31c 53a74e3ee57 5241f87f882385,m,1963,D ct rate,USA,United States
27e3e6a1366adb15741d93476b  83a4d7f31e55,m,1989,Bachel rs,USA,United States
27e3e6a1366adb15741d93476b  83a4d7f31e55,m,1989,Bachel rs,IND,India
2a252e7679459265a572 7a 7b56d8c35d7212c3,f,1978,Masters  r pr fessi nal degree,ECU,Ecuad r
e1e7ac977b18995c38 ef8ce5fb8139abc c24e3,m,1985,Bachel rs,ETH,Ethi pia
4a118 c23a5 fe3924931419c43e1296e773 69d,m,1976,Masters  r pr fessi nal degree,USA,United States
4a118 c23a5 fe3924931419c43e1296e773 69d,m,1976,Masters  r pr fessi nal degree,CAN,Canada
4a118 c23a5 fe3924931419c43e1296e773 69d,m,1976,Masters  r pr fessi nal degree,ZZZ,Reserved
fa84 57bb33 3c22865a46d64 a125fd9f47165b,m,1954,Masters  r pr fessi nal degree,GHA,Ghana
a32 6155447d3c3bef58dc9d97f25d1847eec 53,m,1986,Bachel rs,MNG,M ng lia
27e 4eae578 636b9574371f74ff7ecf196161c7,m,1989,Masters  r pr fessi nal degree,MUS,Mauritius
ae29f6ed6f7ca4a8853172db 268 76928516b8a,f,1989,Sec ndary/High Sch  l,PHL,Philippines
3bcbe54 2c14 8972757dcb512c2b3  231a4afa,m,1993,Bachel rs,IND,India
be 14b3e2  c2f971246 b229b22d1e9a616996f,f,197,Bachel rs,USA,United States
593262695172 4f e8d 264c9d6346b4cc6938f4,m,1984,Masters  r pr fessi nal degree,IND,India
593262695172 4f e8d 264c9d6346b4cc6938f4,m,1984,Masters  r pr fessi nal degree,JPN,Japan
593262695172 4f e8d 264c9d6346b4cc6938f4,m,1984,Masters  r pr fessi nal degree,CHN,China
593262695172 4f e8d 264c9d6346b4cc6938f4,m,1984,Masters  r pr fessi nal degree,ZZZ,Reserved
bcf11a1b4cc6e714bbd c5b871e355cbed978dc6,f,1951,Masters  r pr fessi nal degree,USA,United States
16f52c3e4441919dad8ecfd 299caa9975 3a6a2,m,1984,Masters  r pr fessi nal degree,IND,India
5f734c f18921 5df1 158f63 72b12e52e5b8aa,m,1991,Masters  r pr fessi nal degree,USA,United States
8338a5 7fc431ba8842669a8a45b9e137 fd658 ,m,1989,Masters  r pr fessi nal degree,AUS,Australia
8338a5 7fc431ba8842669a8a45b9e137 fd658 ,m,1989,Masters  r pr fessi nal degree, MN, man
de 615bd73b448 621163db272 e2f3b4a17b3b1,m,1969,Masters  r pr fessi nal degree,USA,United States
 ce166b9d5b37f6da7582e91b d2b4 5765369ab,m,1975,Masters  r pr fessi nal degree,IND,India
a 57bd18 99bfdadf81f2744fb6e 26c373bee9c,m,1987,Masters  r pr fessi nal degree,BGR,Bulgaria
53b71fa29f c53bb47d39f38ca321cc9f14 3e8e,m,1949,Bachel rs,AUS,Australia
fc 7b84   659 c2 df 29af13bda3b5d8f4f6ef,m,1989,Masters  r pr fessi nal degree,IND,India
 3ed5b3453b1641d16e36 2ee8b18cbccb42c a1,m, ,Bachel rs,AUS,Australia
 3ed5b3453b1641d16e36 2ee8b18cbccb42c a1,m, ,Bachel rs,USA,United States
 55c283d987be9462d3272e92 6977c9d93ae8c ,f,1981,Masters  r pr fessi nal degree,RUS,Russian Federati n
 55c283d987be9462d3272e92 6977c9d93ae8c ,f,1981,Masters  r pr fessi nal degree,DEU,Germany
 9d941528ef4 2aa2fa6ae14  1c8d3827937c6a,m,1984,Masters  r pr fessi nal degree,USA,United States
c2fba633  a83d65addc225eb21ad eae 86a123,m,1982,Masters  r pr fessi nal degree,USA,United States
c1c94caeaf 2d45684fb29132f4ad7e9a26249fd,m,1991,Bachel rs,IND,India
edf31813c57af 9a f537c8c1f7cdae9f525634b,m,1989,Masters  r pr fessi nal degree,CAN,Canada
edf31813c57af 9a f537c8c1f7cdae9f525634b,m,1989,Masters  r pr fessi nal degree,CHN,China
448 4abdd7382993ab54d2ce397dc5cb2c4e1692,m,1957,Masters  r pr fessi nal degree,PHL,Philippines
2779caf6c42 f cec2c686c12d7ffdc3 46ba684,f,1979,Sec ndary/High Sch  l,USA,United States
 a7a7cb5be21b5 8fd28f ebb25ef85a33e35619,f,1988,Masters  r pr fessi nal degree,CHL,Chile
5b a9d886bc81 886c73 ba4c891243b37a59ef8,f,1996,Sec ndary/High Sch  l,QAT,Qatar
72bee64ef9e97d3de 72b68c8bec97d4e7c2bdee,m,1989,Masters  r pr fessi nal degree,IND,India
f c63c9479653c5cea66c8f1c27e5 574 3f5d6f,m,1967,Masters  r pr fessi nal degree,IDN,Ind nesia
f c63c9479653c5cea66c8f1c27e5 574 3f5d6f,m,1967,Masters  r pr fessi nal degree,USA,United States
249962541c8d5f a13cfedcb6d9f95e4fefc e98,m,1979,D ct rate,TUR,Turkey
4da3ff2f4a743c18c99cc2c7c8463358dfa61c49,f, ,Masters  r pr fessi nal degree,USA,United States
ead939f87e 42d652a47  fff e793ef 8768735,m,1989,Masters  r pr fessi nal degree,USA,United States
3 cd8ca9ea4da7fdbfb477aa5c93644fde9854e5,m,1986,Sec ndary/High Sch  l,CAN,Canada
fe84247b784ff5499869b3343f176ae69555d964,f,1983,Bachel rs,HKG,H ng K ng
9ce7483e b5414b5a bf49fa28ec464f445b18e9,m,198,Masters  r pr fessi nal degree,NZL,New Zealand
1cc523d16c5c9 715422e341bee2eeca959379ba,m,1968,Bachel rs,CHL,Chile
3e98d67 49474fa b3b9227 4dfd1ae679bb6b93,f,1982,Masters  r pr fessi nal degree,USA,United States
f1da88c12 ab7ca41 be743 cbfd3aa4225bcc6c,m,1968,D ct rate,ZZZ,Reserved
f1da88c12 ab7ca41 be743 cbfd3aa4225bcc6c,m,1968,D ct rate,USA,United States
9 799b7ed849beec943 b9ebd344687c23c4e7bd,f,1963,Masters  r pr fessi nal degree,USA,United States
c 9e4cbddf344b 26 1415bca2f1e fd3b134e3d,m,1987,Bachel rs,USA,United States
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,IRN,Iran (ISLAMIC Republic  f)
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,N R,N rway
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,P L,P land
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,GBR,United Kingd m
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,FRA,France
a311744edc81d9f2931f16f3c85f9f853ba4 a82,f, ,Masters  r pr fessi nal degree,ESP,Spain
a5ab4fe439f1d74 7 92579fec192ad8a2123988,f,1986,Bachel rs,USA,United States
c 6bbc4cb55c d 24535b2dc9e4ee1a9337328f4,m,1984,Masters  r pr fessi nal degree,IND,India
6f6f4a414a6ba688b 7da184b8737f 2b98664ed,m,1992,Sec ndary/High Sch  l,BRA,Brazil
c769ee9987e5734facca3b5942539efd56 a449b,m,197,Bachel rs,USA,United States
77abde9b3ed374 b7276 aed436d83 c9972de1e,m,1978,Bachel rs,GRC,Greece
dcbe9439 d572669b2bc4f5f6f7 2bb66c52dcb4,m,199,Bachel rs,BGD,Bangladesh
3b8143d3318bf e5d7193be 9bc5546f558f56cd,m,1984,Bachel rs,IND,India
3b8143d3318bf e5d7193be 9bc5546f558f56cd,m,1984,Bachel rs,USA,United States
581735dc287df 8f77eb41897 a8 39d7b45a ce,m,1972,Masters  r pr fessi nal degree,USA,United States
7755377f3a3a551485 5d2744df3d817663c4f1b,m, ,Masters  r pr fessi nal degree,USA,United States
4d65c4af255b6244b7b a9a2fb9c6f46ce8c3d a,m,1988,Masters  r pr fessi nal degree,P L,P land
43e844d345994ad2d1b9d7f24539f1452ab adb4,f,1963,Masters  r pr fessi nal degree,IND,India
43e844d345994ad2d1b9d7f24539f1452ab adb4,f,1963,Masters  r pr fessi nal degree,CHN,China
79951 74 19f f9db35c7d4d496b4eed7a3e762c,m,1974,Masters  r pr fessi nal degree,USA,United States
927782237e411 6b 7aeea6fb6b83d8e3d73f974,m,1971,Bachel rs,QAT,Qatar
79542665469cce531e3a24c 6236ba f8b882ec5,f,1966,Bachel rs,USA,United States
361935d5f4 1a9fcd8721c58 35b8d54dd68 1cb,m,1986,Masters  r pr fessi nal degree,USA,United States
b5 bba72e6 73724 59 55c25a4fa 3158f39ecf,m, ,Bachel rs,USA,United States
36dfcd5e8 638c1eb439357d9771f c578dca8f ,m,1958,Masters  r pr fessi nal degree,USA,United States
736c1cce57981c2f519e249a728a9751bd449a  ,m,195,Bachel rs,LA ,La  Pe ple's Dem cratic Republic
736c1cce57981c2f519e249a728a9751bd449a  ,m,195,Bachel rs,AUS,Australia
3 fb62944f289725ac8 fbdf871c1e796af3 643,m,1989,Bachel rs,MEX,Mexic 
94df8e4ede3d1a9959258c6814f39bfc9acd73cf,, ,User withheld,IND,India
94df8e4ede3d1a9959258c6814f39bfc9acd73cf,, ,User withheld,CHN,China
b38154753ae2575b2182ebef14daed d 53636fc,f,196,Masters  r pr fessi nal degree,USA,United States
ecb7342e337df55e25e5bc8d4d35c3b1eb68d128,m,1985,Masters  r pr fessi nal degree,USA,United States
ecb7342e337df55e25e5bc8d4d35c3b1eb68d128,m,1985,Masters  r pr fessi nal degree,IND,India
5c7 6b7f97f822bcecbeafafcd1c69a8c75884a1,f, ,Bachel rs,BLR,Belarus
5c7 6b7f97f822bcecbeafafcd1c69a8c75884a1,f, ,Bachel rs,DEU,Germany
5baa54656a9853b 8f8b4de9bda37122dca77a6e,m,1958,Masters  r pr fessi nal degree,LVA,Latvia
b1396c38252b869f7ab5 8b84 9e2 a6148 c 87,m,1986,Sec ndary/High Sch  l,IND,India
b1396c38252b869f7ab5 8b84 9e2 a6148 c 87,m,1986,Sec ndary/High Sch  l,JPN,Japan
 2a25a85cd7a4ce9bee185483b25ddb42f766ef9,m,1985,Masters  r pr fessi nal degree,USA,United States
beb4a81e225f638658f395ecee63656365 2ec16,m,1985,Bachel rs,PER,Peru
b63f964 15dcfbe151297285b d3a9fc442  a92,f,1977,Masters  r pr fessi nal degree,LBN,Leban n
9b8ed5f25dbe622669673ef6268b3dcdb5 43dae,, ,User withheld,USA,United States
9b8ed5f25dbe622669673ef6268b3dcdb5 43dae,, ,User withheld,ZZZ,Reserved
bd4d185 e4133fbea d4 e5584 59695ea5a76e9,m,199,Bachel rs,USA,United States
b294a867f 37d5 ff4 f38f2fef719ce237e8193,m,1967,Bachel rs,AUS,Australia
b294a867f 37d5 ff4 f38f2fef719ce237e8193,m,1967,Bachel rs,USA,United States
a47b2ed1918a4b42df747ef365ea83 16dd8 b 5,, ,User withheld,CHN,China
aa7fde5184dcad11d157fd95a2398c74dd2cac3a,, ,User withheld,R M,R mania
aa7fde5184dcad11d157fd95a2398c74dd2cac3a,, ,User withheld,TUR,Turkey
cd de8ff33993c536a2cdc5 e e1e fc1b317edb,m,198,Masters  r pr fessi nal degree,MAC,Macau
1a2cf39759b756d 4d2c4793c9658ade7935f3b2,, ,User withheld,USA,United States
ea 3459ef9f2845d3e63c2165863245f76 a fff,m,1988,Masters  r pr fessi nal degree,SGP,Singap re
1fc5b 685fba37b ed436dee3e66a5b51 3251da,f,1979,D ct rate,IND,India
1 3 fa 4b63b24e38c3dd56618318b5e521cc48b,m,1984,Bachel rs,MEX,Mexic 
1 3 fa 4b63b24e38c3dd56618318b5e521cc48b,m,1984,Bachel rs,USA,United States
de3b1edcce73362e3e19e95bab3e713d9a8228b ,m,1986,Masters  r pr fessi nal degree,USA,United States
ebd85459e9d5349fb12a9 25 2 dace4b88 6b7a,m,1988,Masters  r pr fessi nal degree,R M,R mania
5bb8817124 f1b6b82978c762e 311c 55ad6d2b,m,1979,Masters  r pr fessi nal degree,AUS,Australia
5bb8817124 f1b6b82978c762e 311c 55ad6d2b,m,1979,Masters  r pr fessi nal degree,CHL,Chile
5bb8817124 f1b6b82978c762e 311c 55ad6d2b,m,1979,Masters  r pr fessi nal degree,RUS,Russian Federati n
5bb8817124 f1b6b82978c762e 311c 55ad6d2b,m,1979,Masters  r pr fessi nal degree,R M,R mania
67 db9d33752b48b dcee46617ea1d8de4 2d6c3,f,1991,Bachel rs,USA,United States
64d e9 cfb1e67d3a97f818296cf2848 94ebc57,f,1973,Masters  r pr fessi nal degree,SGP,Singap re
f5f952c279a58a c628bc9254eff29f59 8b3b72,m,1998,Sec ndary/High Sch  l,USA,United States
d36 873a6 bd2e62b8c4a7 b53a2928264c3a9e8,m,1964,D ct rate,MEX,Mexic 
1a6 acbf24641 3c e53744f58 69 4 1 4b3efe,f,1964,Masters  r pr fessi nal degree,HKG,H ng K ng
1a6 acbf24641 3c e53744f58 69 4 1 4b3efe,f,1964,Masters  r pr fessi nal degree,USA,United States
17da48c515b5f548a95447ca9996723d9 79abef,m, ,Bachel rs,IND,India
17da48c515b5f548a95447ca9996723d9 79abef,m, ,Bachel rs,CHN,China
acac c61 7d4b8795 191d9 9f2a67e756fdc724,m,1983,Masters  r pr fessi nal degree,ARE,United Arab Emirates
ace1ded36284638cd6599f 38e6e2bb9cff258e6,f,198,Masters  r pr fessi nal degree,USA,United States
ace1ded36284638cd6599f 38e6e2bb9cff258e6,f,198,Masters  r pr fessi nal degree,IND,India
a15794cf293134929965aa57f6773a1 85afd412,m,1989,Bachel rs,IND,India
3 b495525a6336236f44f6364b86698ea6a13f37,m,1989,Masters  r pr fessi nal degree,IND,India
b7d3783866 2ebfc d411e4 6f8eb97718b72a 5,m,1976,Masters  r pr fessi nal degree,USA,United States
921542bcdec95733f55e9ce676c147e319 acb3d,, ,User withheld,AUS,Australia
2a287f539 8a344eb3e5329d89237 bd153f7174,m,1976,Masters  r pr fessi nal degree,IND,India
a66a7b73 ca7cdfc6c66689de c877f4a9bd5ce7,m,1958,Bachel rs,USA,United States
 24d65876d1ffb8c5 766749fecbfa93df57762b,m,1971,Bachel rs,USA,United States
878564456373e214e78d89ebe884269 ec16121b,m,1979,Masters  r pr fessi nal degree,PAK,Pakistan
3b22eec7e9dad1799da8e7795288ecc87dbf1b1f,f,1985,Bachel rs,USA,United States
b82aa eaa647e1db472e1794c8fe3fc61d325e38,m,1992,Bachel rs,IND,India
1dc5b f6fe8b4ec2e655a19a73edb8 da 6efec3,m,1993,Sec ndary/High Sch  l,ETH,Ethi pia
41a7d135d7c1873cc62312bbe6 8fd26f5a63497,m,1982,Masters  r pr fessi nal degree,USA,United States
41a7d135d7c1873cc62312bbe6 8fd26f5a63497,m,1982,Masters  r pr fessi nal degree,HTI,Haiti
1cfe47d5a4a44e 23a75de266acf3dd9c1e4343e,m,1983,D ct rate,USA,United States
1cfe47d5a4a44e 23a75de266acf3dd9c1e4343e,m,1983,D ct rate,DEU,Germany
1cfe47d5a4a44e 23a75de266acf3dd9c1e4343e,m,1983,D ct rate,TUR,Turkey
1cfe47d5a4a44e 23a75de266acf3dd9c1e4343e,m,1983,D ct rate,CAN,Canada
b751be311c7aa9 12 9f3c74c5af433d75f87eab,f,1972,Masters  r pr fessi nal degree,ISR,Israel
7 3ca19e 5eb47898fd2ba7176c258 ac 743535,m,1987,Masters  r pr fessi nal degree,NPL,Nepal
91677fbcc83f9e8f9a6 21e318c3244da6617e7a,m,1987,Bachel rs,MYS,Malaysia
ea4241ba811636cc32af6c7d6141f52c3787 9b3,, ,User withheld,SAU,Saudi Arabia
cd16fe227e8f777955 24 9367358b6982e1ecf4,f,1967,Masters  r pr fessi nal degree,IND,India
ba64c5e4  9b1 bc74b8 358cb416db1162aa799,m,1971,Masters  r pr fessi nal degree,JPN,Japan
6 9f95a687f6aa8da8b3a93162aaefa292182fc7,m,1987,Bachel rs,USA,United States
cb3c583f5d51373e4d8ff3d2619e   a36ceaffe,, ,Masters  r pr fessi nal degree,USA,United States
fcffb e2b9ffaedb4e9 e57 c83ed7cb8a1e 4b6,m,1972,D ct rate,CAN,Canada
fcffb e2b9ffaedb4e9 e57 c83ed7cb8a1e 4b6,m,1972,D ct rate,PER,Peru
fcffb e2b9ffaedb4e9 e57 c83ed7cb8a1e 4b6,m,1972,D ct rate,C L,C l mbia
fcffb e2b9ffaedb4e9 e57 c83ed7cb8a1e 4b6,m,1972,D ct rate,USA,United States
2b7aa22ea625f9212d58f8628d78184be1bce4cb,m,1985,Masters  r pr fessi nal degree,LTU,Lithuania
b4895ae57f9b6d74b4197d1ab51c3becdc 1 ed5,f,1975,Masters  r pr fessi nal degree,CHN,China
6332133 e4c5ec1c538daa3fb 5ab6 7 3 985a5,f,1987,Masters  r pr fessi nal degree,SGP,Singap re
ca9f379dec95b8b77e84872 6bae5783 a62ba4b,f,1985,Bachel rs,CHN,China
6a7a8ec4  ff72bef e 44f956e9cda4bc24fb8c,m,1983,Masters  r pr fessi nal degree,PAK,Pakistan
4c33ba7929 4a3f 37e4a85f1e6d588179148 26,f,1966,Bachel rs,JPN,Japan
c41 2bb49311f9121df9da2c6eebfe183543db f,m,1987,Masters  r pr fessi nal degree,IND,India
c959529aabb6b7ab3c6c e 8e15 8c114db8d39a,m,1988,Sec ndary/High Sch  l,IND,India
4af65a95ad865b5bd8a2d928bf98f26 5d2 3cc3,m,1991,Sec ndary/High Sch  l,IND,India
949edba8ab76c2db62a26ff62e47b4eb337c879b,f,1978,Bachel rs,MYS,Malaysia
c2c625bbd7229597159e7faa9e8ab9c64c2259be,, ,User withheld,USA,United States
7a93412 e62d3215359e6e5cd2dd6 c3a5cd5b19,f,1982,Masters  r pr fessi nal degree,P L,P land
f69e8 5568ba 24841182b385251e749de6e7c9b,m,1996,Juni r sec ndary/juni r high/middle Sch  l,USA,United States
f69e8 5568ba 24841182b385251e749de6e7c9b,m,1996,Juni r sec ndary/juni r high/middle Sch  l,CHN,China
f69e8 5568ba 24841182b385251e749de6e7c9b,m,1996,Juni r sec ndary/juni r high/middle Sch  l,CAN,Canada
cdc861f6 12992b7e477d8 c725c2 2353bb7a83,f,1967,D ct rate,USA,United States
a98cc 84826dc2 ef3226e3582c38 6a49 f1f1 ,m,199,Bachel rs,IND,India
5dd1d7c58b9a9c6984d 1291b4d9e44 f3512dae,m,1989,Bachel rs,IND,India
3783e5df  dc2bab2 c58f23 2b47e5b1351e783,m,1986,Bachel rs,DEU,Germany
73b5fee25e9871768d42d992b8 5f2a8a6989ff2, , , ,USA,United States
73b5fee25e9871768d42d992b8 5f2a8a6989ff2, , , ,ZZZ,Reserved
73b5fee25e9871768d42d992b8 5f2a8a6989ff2, , , ,CAN,Canada
446e27dd7766d14b796a3ff89efb96aa24af94af,m,198,D ct rate,USA,United States
